date,value
2025-09-11,4.071725643382353e-10
2025-09-12,4.0674509803921567e-10
2025-09-15,4.3138430606617647e-10
2025-09-16,4.3854901960784316e-10
2025-09-17,4.378784466911765e-10
2025-09-18,4.3325880821078433e-10
2025-09-19,4.4292156862745096e-10
2025-09-22,4.4972939644607844e-10
2025-09-23,4.443843060661765e-10
2025-09-24,4.457607996323529e-10
2025-09-25,4.461803768382353e-10
2025-09-26,4.3730196844362743e-10
2025-09-29,4.3325880821078433e-10
2025-09-30,4.3184704350490194e-10
2025-10-01,4.3154616135817306e-10
2025-10-02,4.262538311298077e-10
2025-10-03,4.176346153846154e-10
2025-10-06,4.128807842548077e-10
2025-10-07,4.1592690805288463e-10
2025-10-08,4.1370383864182695e-10
2025-10-09,4.125769230769231e-10
2025-10-10,4.123230919471154e-10
2025-10-13,4.0600769981971156e-10
2025-10-14,3.9678463040865384e-10
2025-10-15,4.0248076923076924e-10
2025-10-16,3.9887691556490385e-10
2025-10-17,3.926461463341346e-10
2025-10-20,4.032461688701923e-10
2025-10-21,4.0258462289663464e-10
2025-10-22,4.058192232572115e-10
2025-10-23,4.0801153094951924e-10
2025-10-24,4.208384540264423e-10
2025-10-27,4.174384765625e-10
2025-10-28,4.181192157451923e-10
2025-10-30,4.1681922325721154e-10
2025-10-31,4.219807692307692e-10
2025-11-03,4.1580452596334586e-10
2025-11-04,4.103044965930451e-10
2025-11-05,4.124210673167293e-10
2025-11-06,4.162894663416353e-10
2025-11-07,4.106954887218045e-10
2025-11-10,4.056015037593985e-10
2025-11-11,3.976127819548872e-10
2025-11-12,4.0003384927161655e-10
2025-11-13,3.9957141388627817e-10
2025-11-14,3.9720677425986843e-10
2025-11-17,4.021841958411654e-10
2025-11-18,4.033308123825188e-10
2025-11-19,4.099210673167293e-10
2025-11-20,4.127706840343045e-10
2025-11-21,4.10635353031015e-10
2025-11-24,4.0932330827067667e-10
2025-11-25,4.0816542087640977e-10
2025-11-26,4.103270750117481e-10
2025-11-27,4.1148496240601506e-10
2025-11-28,4.0972557125234964e-10
2025-12-01,4.086948529411765e-10
2025-12-02,4.0895220588235296e-10
2025-12-03,4.0576469870174634e-10
2025-12-04,4.014154411764706e-10
2025-12-05,4.04683837890625e-10
2025-12-08,4.1137867647058824e-10
2025-12-09,4.1317648494944853e-10
2025-12-10,4.115404555376838e-10
2025-12-11,4.1300368365119484e-10
2025-12-12,4.158566104664522e-10
2025-12-15,4.2118749281939337e-10
2025-12-16,4.1723528693704046e-10
2025-12-17,4.1495587517233456e-10
2025-12-18,4.167316032858456e-10
2025-12-19,4.1698163200827207e-10
2025-12-22,4.1584925034466914e-10
2025-12-23,4.1508824965533087e-10
2025-12-24,4.1691542681525735e-10
2025-12-26,4.152353084788603e-10
2025-12-29,4.0995957318474265e-10
2025-12-30,4.125073601217831e-10
2025-12-31,4.1402573529411765e-10
2026-01-02,4.136115248426259e-10
2026-01-05,4.2093525179856117e-10
2026-01-06,4.3251078434127696e-10
2026-01-07,4.326906404563849e-10
2026-01-08,4.3482014388489206e-10
2026-01-09,4.388848920863309e-10
2026-01-12,4.4082013685926256e-10
2026-01-13,4.455251658048561e-10
2026-01-14,4.4496044570593527e-10
2026-01-15,4.4808274083857913e-10
2026-01-16,4.557014388489209e-10
2026-01-19,4.585575680080935e-10
